FEMALE,NONWHITE,UNION,EDUC,AGE,EXPER,WAGE,LNWAGE
0,0,0,12,35,17,14.533333333,2.6764448617
1,0,0,14,28,8,14,2.6390573296
0,0,0,16,31,9,19.475,2.9691315918
0,0,0,12,28,10,10,2.302585093
0,0,1,12,55,37,16.325,2.7926976752
1,0,0,18,45,21,14.425,2.6689628124
1,0,0,12,23,5,3.65,1.2947271676
1,0,1,16,22,0,13.844444444,2.627884029
0,0,0,12,52,34,16.35,2.7942278973
0,0,0,12,25,7,5.6,1.7227665977
0,0,0,12,26,8,5.6,1.7227665977
1,0,0,12,43,25,9.25,2.2246235515
1,0,0,12,28,10,7.24,1.9796212064
0,0,0,20,36,10,19.233333333,2.9566448848
0,0,0,12,41,23,6,1.7917594692
1,0,0,11,58,41,8.8235294118,2.17742195
0,0,0,10,58,42,11,2.3978952728
1,0,0,12,23,5,8,2.0794415417
0,0,0,12,22,4,8.5,2.1400661635
1,0,0,12,55,37,5,1.6094379124
0,0,0,12,23,5,4.5,1.5040773968
1,0,1,18,56,32,19.711111111,2.9811824925
1,0,0,16,24,2,7.2,1.974081026
1,0,1,12,48,30,13,2.5649493575
1,1,0,12,45,27,12,2.4849066498
0,1,0,12,22,4,4.5,1.5040773968
0,0,0,12,37,19,15,2.7080502011
1,0,0,12,56,38,4.5,1.5040773968
0,0,0,18,39,15,28.84,3.3617633124
0,0,1,12,28,10,10.4,2.3418058061
0,0,1,12,47,29,16,2.7725887222
0,0,0,12,34,16,7.12,1.9629077254
1,0,0,16,37,15,16.825,2.8228658755
1,0,0,14,46,26,7,1.9459101491
0,0,0,12,33,15,9.24,2.2235418857
1,0,1,12,37,19,6.5,1.8718021769
0,1,0,12,21,3,6.25,1.8325814637
0,0,0,12,33,15,12.511627907,2.5266584445
1,0,0,12,29,11,2.2857142857,0.8266785732
0,0,0,12,34,16,2,0.6931471806
1,1,0,18,41,17,11.366666667,2.4306850956
1,0,0,12,19,1,5.5,1.7047480922
1,0,0,12,44,26,11.125,2.4091948281
0,0,0,16,45,23,13.84,2.6275629502
0,0,0,12,24,6,8,2.0794415417
1,0,0,12,41,23,13.925,2.6336857858
1,0,0,12,41,23,8.65,2.1575593209
1,0,0,12,19,1,5,1.6094379124
1,0,0,12,65,47,5.5,1.7047480922
1,0,0,12,50,32,5,1.6094379124
1,1,0,12,49,31,12,2.4849066498
1,1,0,12,40,22,13,2.5649493575
0,0,0,12,41,23,15.35,2.731115474
0,0,0,12,20,2,8,2.0794415417
0,0,0,12,38,20,9.5,2.2512917986
